Overall graph size pval = 0.4225
Gene	Downstream crowded pval	Downstream suggests activation pval	Downstream suggests inhibition pval
PRKCA	0.0217	1.0E-4	0.9994
PRKCD	0.14	0.0042	0.979
MAPK1	0.0207	0.0312	0.5079
AKT1	0.1569	0.0397	0.8861
LYN	0.7261	0.0671	0.9995
AKT2	0.081	0.087	0.4596
FYN	0.3368	0.0849	0.9816
HCK	0.5907	0.109	1.0
SRC	0.4211	0.1093	0.9558
GSK3B	0.9083	1.0	0.146
PRKACA	0.6727	0.1702	0.9128
MTOR	0.5671	0.675	0.249
MAPK3	0.3171	0.286	0.4457
SYK	0.723	0.3598	0.9013
MAPK14	0.7463	0.4456	0.7902
RPS6KA1	0.9553	0.4949	0.9541
CSNK1A1	0.9827	0.8718	0.9697
